Brand,Model,Price,Year,Mileage,Engine_type,Transmission,Color,Bodywork,Doors_num,Steering_wheel,Vin,Owners_num,Tech_condition,Horsepower,Engine_capacity
Audi,A4,1 699 000 q,,102 000,бензин,автомат,белый,седан,,левый,,,,249 л.с.,2.0
Audi,Q5,3 505 000 q,,0,бензин,автомат,черный,,,левый,WAUZZZFY6L2****73,,,249 л.с.,2.0
Audi,Q5,3 610 222 q,,0,бензин,автомат,серый,,,левый,WAUZZZFY8L2****27,,,249 л.с.,2.0
Audi,Q5,3 810 000 q,,0,бензин,автомат,синий,,,левый,WAUZZZFY9L2****63,,,249 л.с.,2.0
Audi,A3,2 016 000 q,,0,бензин,автомат,серебристый,седан,,левый,WAUZZZ8V1LA****35,,,150 л.с.,1.4
Audi,A4,1 769 000 q,,103 421,бензин,автомат,белый,седан,,левый,,,,249 л.с.,2.0
Audi,A6,1 249 000 q,,113 711,бензин,автомат,белый,седан,,левый,,,,204 л.с.,2.8
Audi,A3,764 000 q,,107 300,бензин,автомат,красный,хэтчбек 5 дв.,,левый,,,,122 л.с.,1.4
Audi,Q7,2 740 000 q,,159 686,дизель,автомат,серый,,,левый,,,,249 л.с.,3.0
Audi,Q7,4 575 000 q,,17 610,дизель,автомат,синий,,,левый,,,,249 л.с.,3.0
Audi,A1,856 900 q,,93 500,бензин,автомат,белый,хэтчбек 5 дв.,,левый,,,,122 л.с.,1.4
Audi,Q3,1 368 400 q,,121 302,бензин,автомат,коричневый,,,левый,,,,170 л.с.,2.0
Audi,A6,900 000 q,,189 000,бензин,автомат,серебристый,седан,,левый,,,,204 л.с.,2.8
Audi,Q5,3 505 000 q,,0,бензин,автомат,белый,,,левый,WAUZZZFY6L2****18,,,249 л.с.,2.0
Audi,Q5,3 540 000 q,,0,бензин,автомат,белый,,,левый,WAUZZZFY5L2****21,,,249 л.с.,2.0
Audi,Q5,3 810 000 q,,0,бензин,автомат,белый,,,левый,WAUZZZFY2L2****92,,,249 л.с.,2.0
Audi,Q5,3 540 000 q,,0,бензин,автомат,черный,,,левый,WAUZZZFY4L2****50,,,249 л.с.,2.0
Audi,Q5,3 540 000 q,,0,бензин,автомат,синий,,,левый,WAUZZZFY3L2****83,,,249 л.с.,2.0
Audi,Q5,3 540 000 q,,0,бензин,автомат,белый,,,левый,WAUZZZFY0L2****80,,,249 л.с.,2.0
Audi,Q5,3 505 000 q,,0,бензин,автомат,серый,,,левый,WAUZZZFY8L2****83,,,249 л.с.,2.0
Audi,Q5,3 505 000 q,,0,бензин,автомат,серебристый,,,левый,WAUZZZFY3L2****15,,,249 л.с.,2.0
Audi,Q5,3 540 000 q,,0,бензин,автомат,черный,,,левый,WAUZZZFY5L2****72,,,249 л.с.,2.0
Audi,Q3,1 650 000 q,,55 000,бензин,автомат,белый,,,левый,,,,150 л.с.,1.4
Audi,A4,145 000 q,,350 000,бензин,механика,черный,седан,,левый,,,,101 л.с.,1.6
Audi,Q3,750 000 q,,140 000,бензин,автомат,черный,,,левый,,,,170 л.с.,2.0
Audi,A4,615 000 q,,155 000,бензин,автомат,красный,седан,,левый,,,,160 л.с.,1.8
Audi,Q5,1 995 000 q,,87 000,дизель,автомат,белый,,,левый,,,,245 л.с.,3.0
Audi,A1,624 000 q,,83 000,бензин,автомат,,хэтчбек 5 дв.,,левый,,,,122 л.с.,1.4
Audi,A6,3 399 900 q,,3 753,бензин,автомат,синий,седан,,левый,,,,245 л.с.,2.0
Audi,TT,1 049 000 q,,173 854,бензин,автомат,красный,купе,,левый,,,,211 л.с.,2.0
Audi,A8,1 000 000 q,,262 700,бензин,автомат,черный,,,левый,,,,290 л.с.,3.0
Audi,Q3,1 090 000 q,,100 679,бензин,автомат,черный,,,левый,,,,170 л.с.,2.0
Audi,A6,1 990 000 q,,23 038,бензин,автомат,черный,седан,,левый,,,,190 л.с.,1.8
Audi,Q8,6 251 000 q,,18 282,дизель,автомат,синий,,,левый,,,,249 л.с.,3.0
Audi,A3,1 465 000 q,,44 982,бензин,автомат,белый,хэтчбек 5 дв.,,левый,,,,150 л.с.,1.4
Audi,A3,610 000 q,,94 600,бензин,автомат,белый,хэтчбек 5 дв.,,левый,,,,105 л.с.,1.2
Audi,A7,4 390 000 q,,69 412,бензин,автомат,синий,,,левый,,,,340 л.с.,3.0
Audi,Q3,1 340 000 q,,90 493,бензин,автомат,черный,,,левый,,,,150 л.с.,1.4
Audi,Q3,1 250 000 q,,81 027,бензин,автомат,черный,,,левый,,,,150 л.с.,1.4
Audi,A8,8 190 000 q,,0,бензин,автомат,черный,,,левый,WAUZZZF89KN****05,,,460 л.с.,4.0
Audi,Q5,3 505 000 q,,0,бензин,автомат,серый,,,левый,WAUZZZFY0L2****83,,,249 л.с.,2.0
Audi,Q5,998 000 q,,110 665,бензин,автомат,красный,,,левый,,,,211 л.с.,2.0
Audi,A8,1 295 000 q,,139 642,бензин,автомат,черный,,,левый,,,,290 л.с.,3.0
Audi,Q3,895 000 q,,156 797,бензин,автомат,бежевый,,,левый,,,,150 л.с.,1.4
Audi,A5,860 000 q,,198 000,бензин,автомат,черный,купе,,левый,,,,211 л.с.,2.0
Audi,A3,1 800 000 q,,29 400,бензин,автомат,синий,седан,,левый,,,,150 л.с.,1.4
Audi,A4,800 000 q,,135 000,бензин,автомат,черный,седан,,левый,,,,170 л.с.,1.8
Audi,A6,3 390 000 q,,1 228,бензин,автомат,черный,седан,,левый,,,,245 л.с.,2.0
Audi,A4,524 000 q,,157 321,бензин,автомат,серый,седан,,левый,,,,130 л.с.,2.0
Audi,Q3,1 579 000 q,,90 705,бензин,автомат,белый,,,левый,,,,180 л.с.,2.0
Audi,Q7,3 548 000 q,,70 978,дизель,автомат,коричневый,,,левый,,,,249 л.с.,3.0
Audi,Q3,1 950 000 q,,29 640,бензин,автомат,белый,,,левый,,,,180 л.с.,2.0
Audi,Q7,4 534 000 q,,21 813,дизель,автомат,черный,,,левый,,,,249 л.с.,3.0
Audi,A5,1 597 000 q,,115 619,бензин,автомат,белый,купе,,левый,,,,225 л.с.,2.0
Audi,A6,2 701 000 q,,0,бензин,автомат,черный,седан,,левый,WAUZZZF26LN****95,,,190 л.с.,2.0
Audi,Q5,1 218 000 q,,179 167,бензин,автомат,серый,,,левый,,,,225 л.с.,2.0
Audi,A7,5 550 000 q,,19 936,бензин,автомат,синий,,,левый,,,,340 л.с.,3.0
Audi,Q5,3 540 000 q,,0,бензин,автомат,белый,,,левый,WAUZZZFY8L2****30,,,249 л.с.,2.0
Audi,Q5,3 810 000 q,,0,бензин,автомат,синий,,,левый,WAUZZZFY2L2****38,,,249 л.с.,2.0
Audi,Q5,3 810 000 q,,0,бензин,автомат,серый,,,левый,WAUZZZFY4L2****25,,,249 л.с.,2.0
Audi,Q5,3 702 999 q,,0,бензин,автомат,синий,,,левый,WAUZZZFY9L2****19,,,249 л.с.,2.0
Audi,Q7,1 500 000 q,,167 000,дизель,автомат,коричневый,,,левый,,,,245 л.с.,3.0
Audi,A6,745 000 q,,233 800,дизель,автомат,черный,седан,,левый,,,,170 л.с.,2.0
Audi,Q7,1 435 000 q,,130 250,бензин,автомат,черный,,,левый,,,,272 л.с.,3.0
Audi,A4,1 280 000 q,,106 749,бензин,автомат,черный,седан,,левый,,,,150 л.с.,1.4
Audi,A6,319 000 q,,220 900,бензин,автомат,черный,седан,,левый,,,,220 л.с.,3.0
Audi,Q3,2 847 000 q,,1 677,бензин,автомат,красный,,,левый,,,,150 л.с.,1.4
Audi,Q3,1 625 000 q,,84 720,бензин,автомат,белый,,,левый,,,,180 л.с.,2.0
Audi,Q5,1 870 000 q,,42 602,бензин,автомат,черный,,,левый,,,,225 л.с.,2.0
Audi,Q5,2 639 900 q,,58 850,бензин,автомат,белый,,,левый,,,,249 л.с.,2.0
Audi,A4,170 000 q,,178 077,бензин,автомат,серый,универсал,,левый,,,,125 л.с.,1.8
Audi,Q7,1 745 000 q,,154 000,дизель,автомат,черный,,,левый,,,,245 л.с.,3.0
Audi,A4,1 650 000 q,,137 570,бензин,автомат,коричневый,универсал,,левый,,,,224 л.с.,2.0
Audi,Q3,1 365 000 q,,65 998,бензин,автомат,белый,,,левый,,,,170 л.с.,2.0
Audi,A4,555 000 q,,139 232,бензин,,черный,седан,,левый,,,,,2.0
Audi,A8,8 760 953 q,,0,бензин,автомат,синий,,,левый,WAUZZZF83KN****60,,,340 л.с.,3.0
Audi,A8,8 490 000 q,,0,бензин,автомат,черный,,,левый,WAUZZZF82KN****45,,,340 л.с.,3.0
Audi,A8,7 290 000 q,,0,дизель,автомат,черный,,,левый,WAUZZZF86KN****70,,,249 л.с.,3.0
Audi,A8,7 500 000 q,,0,бензин,автомат,серый,,,левый,WAUZZZF89LN****67,,,340 л.с.,3.0
Audi,SQ8,12 800 000 q,,0,дизель,автомат,синий,,,левый,WAUZZZF11LD****11,,,422 л.с.,4.0
Audi,Q5,1 190 000 q,,89 000,бензин,автомат,белый,,,левый,,,,211 л.с.,2.0
Audi,A8,2 087 000 q,,83 397,бензин,автомат,черный,,,левый,,,,310 л.с.,3.0
Audi,A3,565 000 q,,110 000,бензин,автомат,серый,хэтчбек 5 дв.,,левый,,,,125 л.с.,1.4
Audi,Q5,3 540 000 q,,0,бензин,автомат,черный,,,левый,WAUZZZFY3L2****01,,,249 л.с.,2.0
Audi,Q5,3 670 000 q,,0,бензин,автомат,белый,,,левый,WAUZZZFY8L2****23,,,249 л.с.,2.0
Audi,Q5,1 049 000 q,,91 000,бензин,автомат,серебристый,,,левый,,,,271 л.с.,3.2
Audi,Q5,3 625 000 q,,0,бензин,автомат,белый,,,левый,WAUZZZFY9L2****55,,,249 л.с.,2.0
Audi,Q5,3 625 000 q,,0,бензин,автомат,белый,,,левый,WAUZZZFY4L2****30,,,249 л.с.,2.0
Audi,Q5,3 625 000 q,,0,бензин,автомат,серый,,,левый,WAUZZZFY4L2****82,,,249 л.с.,2.0
Audi,Q5,3 625 000 q,,0,бензин,автомат,белый,,,левый,WAUZZZFY4L2****11,,,249 л.с.,2.0
Audi,Q5,3 625 000 q,,0,бензин,автомат,серебристый,,,левый,WAUZZZFY9L2****00,,,249 л.с.,2.0
Audi,Q5,3 625 000 q,,0,бензин,автомат,серебристый,,,левый,WAUZZZFY0L2****75,,,249 л.с.,2.0
Audi,A4,460 000 q,,268 405,бензин,автомат,синий,седан,,левый,,,,163 л.с.,1.8
Audi,A4,899 000 q,,103 000,бензин,автомат,белый,седан,,левый,,,,211 л.с.,2.0
Audi,Q8,6 998 000 q,,9 170,дизель,автомат,серый,,,левый,,,,249 л.с.,3.0
Audi,A4,99 000 q,,311 507,бензин,механика,черный,седан,,левый,,,,125 л.с.,1.8
Audi,A1,679 000 q,,82 225,бензин,автомат,красный,хэтчбек 5 дв.,,левый,,,,122 л.с.,1.4
Audi,A5,879 000 q,,122 759,бензин,автомат,белый,купе,,левый,,,,160 л.с.,1.8
Audi,A1,569 000 q,,103 239,бензин,автомат,белый,хэтчбек 5 дв.,,левый,,,,122 л.с.,1.4
Audi,A4,829 000 q,,94 926,бензин,автомат,белый,седан,,левый,,,,211 л.с.,2.0
Audi,A5,839 000 q,,106 302,бензин,автомат,белый,купе,,левый,,,,211 л.с.,2.0
Audi,Q5,1 050 000 q,,186 925,дизель,автомат,черный,,,левый,,,,170 л.с.,2.0
Audi,A6,547 000 q,,165 220,дизель,автомат,голубой,седан,,левый,,,,140 л.с.,2.0
Audi,Q7,2 275 000 q,,101 837,дизель,автомат,черный,,,левый,,,,245 л.с.,3.0
Audi,A7,1 570 000 q,,180 746,дизель,автомат,черный,,,левый,,,,245 л.с.,3.0
Audi,A3,508 000 q,,167 936,бензин,автомат,белый,хэтчбек 5 дв.,,левый,,,,105 л.с.,1.2
Audi,Q7,3 899 000 q,,74 225,дизель,автомат,черный,,,,,,,,3.0
Audi,Q5,1 920 000 q,,102 541,бензин,автомат,белый,,,левый,,,,230 л.с.,2.0
Audi,Q7,4 715 586 q,,28 395,дизель,автомат,серый,,,левый,,,,249 л.с.,3.0
Audi,TT,852 000 q,,110 658,бензин,автомат,черный,купе,,левый,,,,200 л.с.,2.0
Audi,S5,1 324 000 q,,128 286,бензин,автомат,красный,купе,,левый,,,,354 л.с.,4.2
Audi,A3,614 000 q,,95 120,бензин,автомат,черный,хэтчбек 5 дв.,,левый,,,,160 л.с.,1.8
Audi,A5,2 890 000 q,,30 163,дизель,автомат,зеленый,лифтбек,,левый,,,,190 л.с.,2.0
Audi,A3,1 885 000 q,,1 850,бензин,автомат,серый,седан,,левый,,,,150 л.с.,1.4
Audi,Q5,1 649 000 q,,81 205,дизель,автомат,черный,,,левый,,,,245 л.с.,3.0
Audi,Q5,859 000 q,,80 115,бензин,автомат,бежевый,,,левый,,,,211 л.с.,2.0
Audi,A6,900 000 q,,250 000,бензин,автомат,черный,седан,,левый,,,,180 л.с.,2.0
Audi,Q7,3 290 000 q,,70 986,дизель,автомат,бежевый,,,левый,,,,249 л.с.,3.0
Audi,Q5,3 502 360 q,,0,бензин,автомат,синий,,,левый,WAUZZZFY1L2****57,,,249 л.с.,2.0
Audi,A8,10 638 000 q,,0,бензин,автомат,черный,,,левый,WAUZZZF83KN****98,,,460 л.с.,4.0
Audi,Q5,3 540 000 q,,0,бензин,автомат,красный,,,левый,WAUZZZFY9L2****18,,,249 л.с.,2.0
Audi,A8,10 638 000 q,,0,бензин,автомат,черный,,,левый,WAUZZZF86KN****36,,,460 л.с.,4.0
Audi,A8,10 638 000 q,,0,бензин,автомат,черный,,,левый,WAUZZZF80KN****52,,,460 л.с.,4.0
Audi,Q5,3 810 000 q,,0,бензин,автомат,черный,,,левый,WAUZZZFY6L2****59,,,249 л.с.,2.0
Audi,Q5,3 460 000 q,,0,бензин,автомат,серый,,,левый,WAUZZZFY4L2****83,,,249 л.с.,2.0
Audi,Q5,3 460 000 q,,0,бензин,автомат,синий,,,левый,WAUZZZFY2L2****92,,,249 л.с.,2.0
Audi,A6,629 000 q,,176 334,бензин,автомат,серый,,,левый,,,,255 л.с.,3.1
Audi,A4,355 000 q,,333 000,бензин,механика,серый,универсал,,левый,,,,163 л.с.,1.8
Audi,A1,500 000 q,,163 000,бензин,автомат,коричневый,хэтчбек 3 дв.,,левый,,,,122 л.с.,1.4
Audi,Q7,667 000 q,,151 381,бензин,автомат,черный,,,левый,,,,350 л.с.,4.2
Audi,A4,525 000 q,,160 000,бензин,автомат,белый,седан,,левый,,,,160 л.с.,1.8
Audi,Q3,750 000 q,,50 559,бензин,автомат,,,,левый,,,,180 л.с.,2.0
Audi,Q5,837 000 q,,119 958,бензин,автомат,черный,,,левый,,,,211 л.с.,2.0
Audi,A5,3 100 000 q,,28 958,бензин,автомат,серый,купе,,левый,,,,249 л.с.,2.0
Audi,Q5,1 460 000 q,,151 655,дизель,автомат,серый,,,левый,,,,177 л.с.,2.0
Audi,Q7,759 000 q,,312 241,дизель,автомат,серый,,,левый,,,,233 л.с.,3.0
Audi,Q3,1 932 700 q,,85 966,бензин,автомат,белый,,,левый,,,,180 л.с.,2.0
Audi,A6,375 000 q,,277 928,бензин,автомат,черный,седан,,левый,,,,170 л.с.,2.4
Audi,Q5,1 899 000 q,,81 378,бензин,автомат,черный,,,левый,,,,225 л.с.,2.0
Audi,A4,2 180 000 q,,62 000,бензин,автомат,серый,,,левый,,,,249 л.с.,2.0
Audi,Q7,3 045 900 q,,120 066,дизель,автомат,серый,,,левый,,,,249 л.с.,3.0
Audi,A6,465 000 q,,144 240,бензин,автомат,черный,седан,,левый,,,,,3.2
Audi,Q7,750 000 q,,171 250,бензин,автомат,черный,,,левый,,,,280 л.с.,3.6
Audi,A6,1 250 000 q,,113 500,бензин,автомат,черный,седан,,левый,,,,204 л.с.,2.8
Audi,Q5,3 602 194 q,,0,бензин,автомат,белый,,,левый,WAUZZZFY6L2****41,,,249 л.с.,2.0
Audi,Q3,3 018 808 q,,0,бензин,автомат,черный,,,левый,WAUZZZF34M1****33,,,180 л.с.,2.0
Audi,Q3,3 167 980 q,,0,бензин,автомат,черный,,,левый,WAUZZZF38M1****67,,,180 л.с.,2.0
Audi,Q3,2 848 380 q,,0,бензин,автомат,красный,,,левый,WAUZZZF38M1****33,,,180 л.с.,2.0
Audi,A8,10 050 636 q,,0,бензин,автомат,синий,,,левый,WAUZZZF85LN****87,,,340 л.с.,3.0
Audi,A8,8 415 534 q,,0,бензин,автомат,черный,,,левый,WAUZZZF89LN****53,,,340 л.с.,3.0
Audi,A6,3 753 000 q,,0,бензин,автомат,серебристый,седан,,левый,WAUZZZF21MN****44,,,245 л.с.,2.0
Audi,A5,3 680 000 q,,0,бензин,автомат,белый,лифтбек,,левый,WAUZZZF53MA****95,,,249 л.с.,2.0
Audi,A5,3 680 000 q,,0,бензин,автомат,черный,лифтбек,,левый,WAUZZZF54MA****45,,,249 л.с.,2.0
Audi,A5,3 757 808 q,,0,бензин,автомат,серый,лифтбек,,левый,WAUZZZF58MA****20,,,249 л.с.,2.0
Audi,A5,3 680 000 q,,0,бензин,автомат,серый,лифтбек,,левый,WAUZZZF56MA****96,,,249 л.с.,2.0
Audi,A5,3 680 000 q,,0,бензин,автомат,красный,лифтбек,,левый,WAUZZZF5XMA****84,,,249 л.с.,2.0
Audi,A5,3 757 808 q,,0,бензин,автомат,серый,лифтбек,,левый,WAUZZZF53MA****37,,,249 л.с.,2.0
Audi,A4,2 781 028 q,,0,бензин,автомат,синий,седан,,левый,WAUZZZF42MN****16,,,150 л.с.,2.0
Audi,A4,2 781 028 q,,0,бензин,автомат,синий,седан,,левый,WAUZZZF48MN****64,,,150 л.с.,2.0
Audi,A4,2 781 028 q,,0,бензин,автомат,синий,седан,,левый,WAUZZZF44MN****10,,,150 л.с.,2.0
Audi,A4,2 656 944 q,,0,бензин,автомат,серый,седан,,левый,WAUZZZF4XMA****39,,,190 л.с.,2.0
Audi,A4,2 781 028 q,,0,бензин,автомат,синий,седан,,левый,WAUZZZF43MN****17,,,150 л.с.,2.0
Audi,A4,2 599 027 q,,0,бензин,автомат,черный,седан,,левый,WAUZZZF4XMN****21,,,190 л.с.,2.0
Audi,A4,2 697 936 q,,0,бензин,автомат,серый,седан,,левый,WAUZZZF42MN****41,,,190 л.с.,2.0
Audi,A4,2 755 853 q,,0,бензин,автомат,серый,седан,,левый,WAUZZZF45MA****14,,,190 л.с.,2.0
Audi,A4,2 781 028 q,,0,бензин,автомат,белый,седан,,левый,WAUZZZF43MN****08,,,150 л.с.,2.0
Audi,A4,2 993 340 q,,0,бензин,автомат,синий,седан,,левый,WAUZZZF42MN****47,,,249 л.с.,2.0
Audi,A4,2 781 028 q,,0,бензин,автомат,белый,седан,,левый,WAUZZZF44MN****22,,,150 л.с.,2.0
Audi,A4,2 993 340 q,,0,бензин,автомат,серый,седан,,левый,WAUZZZF47MN****08,,,249 л.с.,2.0
Audi,A4,2 276 004 q,,0,бензин,автомат,синий,седан,,левый,WAUZZZF4XMA****90,,,150 л.с.,2.0
Audi,A4,2 275 000 q,,0,бензин,автомат,серебристый,седан,,левый,WAUZZZF40MA****41,,,150 л.с.,2.0
Audi,A4,2 275 000 q,,0,бензин,автомат,серый,седан,,левый,WAUZZZF45MA****98,,,150 л.с.,2.0
Audi,A4,2 275 000 q,,0,бензин,автомат,белый,седан,,левый,WAUZZZF42MA****88,,,150 л.с.,2.0
Audi,A4,2 275 000 q,,0,бензин,автомат,серебристый,седан,,левый,WAUZZZF40MA****80,,,150 л.с.,2.0
Audi,A4,2 275 000 q,,0,бензин,автомат,серебристый,седан,,левый,WAUZZZF40MA****88,,,150 л.с.,2.0
Audi,A4,2 467 428 q,,0,бензин,автомат,белый,седан,,левый,WAUZZZF47MA****01,,,190 л.с.,2.0
Audi,A4,2 467 428 q,,0,бензин,автомат,белый,седан,,левый,WAUZZZF44MA****83,,,190 л.с.,2.0
Audi,A4,2 597 599 q,,0,бензин,автомат,красный,седан,,левый,WAUZZZF42MA****35,,,190 л.с.,2.0
Audi,A4,2 599 027 q,,0,бензин,автомат,белый,седан,,левый,WAUZZZF48MN****42,,,190 л.с.,2.0
Audi,A4,2 599 027 q,,0,бензин,автомат,черный,седан,,левый,WAUZZZF47MN****49,,,190 л.с.,2.0
Audi,A4,2 389 045 q,,0,бензин,автомат,серый,седан,,левый,WAUZZZF41MA****78,,,150 л.с.,2.0
Audi,A4,2 277 432 q,,0,бензин,автомат,синий,седан,,левый,WAUZZZF41MA****57,,,150 л.с.,2.0
Audi,A4,2 389 045 q,,0,бензин,автомат,серый,седан,,левый,WAUZZZF41MA****90,,,150 л.с.,2.0
Audi,A4,2 466 000 q,,0,бензин,автомат,черный,седан,,левый,WAUZZZF42MA****05,,,190 л.с.,2.0
Audi,A4,2 466 000 q,,0,бензин,автомат,серый,седан,,левый,WAUZZZF40MA****32,,,190 л.с.,2.0
Audi,A4,2 467 428 q,,0,бензин,автомат,черный,седан,,левый,WAUZZZF43MA****75,,,190 л.с.,2.0
Audi,A4,2 466 000 q,,0,бензин,автомат,синий,седан,,левый,WAUZZZF47MA****74,,,190 л.с.,2.0
Audi,A4,2 466 000 q,,0,бензин,автомат,серый,седан,,левый,WAUZZZF46MA****35,,,190 л.с.,2.0
Audi,A4,2 466 000 q,,0,бензин,автомат,синий,седан,,левый,WAUZZZF43MA****03,,,190 л.с.,2.0
Audi,A4,2 599 027 q,,0,бензин,автомат,синий,седан,,левый,WAUZZZF42MN****69,,,190 л.с.,2.0
Audi,A4,2 276 004 q,,0,бензин,автомат,серый,седан,,левый,WAUZZZF41MA****26,,,150 л.с.,2.0
Audi,A4,2 277 432 q,,0,бензин,автомат,черный,седан,,левый,WAUZZZF42MA****66,,,150 л.с.,2.0
Audi,A4,2 994 768 q,,0,бензин,автомат,черный,седан,,левый,WAUZZZF47MA****10,,,249 л.с.,2.0
Audi,A4,3 440 576 q,,0,бензин,автомат,синий,седан,,левый,WAUZZZF41MA****12,,,249 л.с.,2.0
